cc_account_no,card_number,transaction_id,card_type,transaction_date,merchant_code,area_of_expense,transaction_amt,transaction_mode
785302008,XXXXXXXXXXXX8980,685302008XXXX898022/02/20181025788044,Platinum,22/2/2019,1025788044,PETROL PUMPS,47682,POS
785302008,XXXXXXXXXXXX6856,685302008XXXX685622/06/20181000989242,Platinum,22/6/2019,1000989242,WITHDRAWAL,87770,ATM
785302008,XXXXXXXXXXXX5740,685302008XXXX574022/06/20181026792281,Platinum,22/6/2019,1026792281,UTILITIES,26638,POS
785302008,XXXXXXXXXXXX9062,685302008XXXX906223/02/20181025145043,Platinum,23/2/2019,1025145043,ENTERTAINMENT,74444,POS
785302008,XXXXXXXXXXXX3970,685302008XXXX397023/04/20181055064200,Platinum,23/4/2019,1055064200,TRAVEL,98425,POS
785302008,XXXXXXXXXXXX2267,685302008XXXX226723/11/20181005524420,Platinum,23/11/2019,1005524420,FOOD,15309,POS
785302008,XXXXXXXXXXXX1290,685302008XXXX129024/07/20181013039483,Platinum,24/7/2019,1013039483,PETROL PUMPS,69018,POS
785302008,XXXXXXXXXXXX4234,685302008XXXX423424/12/20181049088362,Platinum,24/12/2019,1049088362,PETROL PUMPS,79439,POS
785302008,XXXXXXXXXXXX3371,685302008XXXX337126/03/20181056272155,Platinum,26/3/2019,1056272155,FOOD,66738,POS
785302008,XXXXXXXXXXXX6904,685302008XXXX690427/04/20181061766381,Platinum,27/4/2019,1061766381,UTILITIES,8459,POS
785302008,XXXXXXXXXXXX6200,685302008XXXX620028/09/20181022510585,Platinum,28/9/2019,1022510585,ENTERTAINMENT,46437,POS
785302008,XXXXXXXXXXXX7431,685302008XXXX743131/07/20181057422718,Platinum,31/7/2019,1057422718,ENTERTAINMENT,97335,POS
785302011,XXXXXXXXXXXX3817,685302011XXXX3817431011072893569,Platinum,1/1/2019,1072893569,ENTERTAINMENT,91311,POS
785302011,XXXXXXXXXXXX4091,685302011XXXX4091433781009258380,Platinum,10/5/2019,1009258380,FOOD,66822,POS
785302011,XXXXXXXXXXXX7322,685302011XXXX7322434081074364219,Platinum,11/4/2019,1074364219,PETROL PUMPS,39555,POS
785302011,XXXXXXXXXXXX5771,685302011XXXX5771434161037334060,Platinum,11/12/2019,1037334060,ENTERTAINMENT,61578,POS
785302011,XXXXXXXXXXXX2094,685302011XXXX209413/01/20181061375375,Platinum,13/1/2019,1061375375,ENTERTAINMENT,11876,POS
785302011,XXXXXXXXXXXX4803,685302011XXXX480314/03/20181061220024,Platinum,14/3/2019,1061220024,FOOD,51896,POS
785302011,XXXXXXXXXXXX2463,685302011XXXX246315/08/20181092038658,Platinum,15/8/2019,1092038658,PETROL PUMPS,34939,POS
785302011,XXXXXXXXXXXX6783,685302011XXXX678316/02/20181038099330,Platinum,16/2/2019,1038099330,TRAVEL,96886,POS
785302011,XXXXXXXXXXXX7462,685302011XXXX746216/09/20181002523483,Platinum,16/9/2019,1002523483,PETROL PUMPS,36017,POS
785302011,XXXXXXXXXXXX5123,685302011XXXX512322/01/20181048219571,Platinum,22/1/2019,1048219571,TRAVEL,84997,POS
785302011,XXXXXXXXXXXX4896,685302011XXXX489622/02/20181037155845,Platinum,22/2/2019,1037155845,PETROL PUMPS,53709,POS
785302011,XXXXXXXXXXXX9716,685302011XXXX971627/04/20181033048980,Platinum,27/4/2019,1033048980,UTILITIES,13859,POS
785302011,XXXXXXXXXXXX5970,685302011XXXX597028/05/20181071419039,Platinum,28/5/2019,1071419039,FOOD,33765,POS
785302011,XXXXXXXXXXXX6124,685302011XXXX612428/09/20181096341987,Platinum,28/9/2019,1096341987,UTILITIES,11424,POS
785302011,XXXXXXXXXXXX6220,685302011XXXX622029/03/20181081961512,Platinum,29/3/2019,1081961512,FOOD,32430,POS
785302011,XXXXXXXXXXXX6526,685302011XXXX652631/05/20181007417060,Platinum,31/5/2019,1007417060,TRAVEL,83211,POS
784709537,XXXXXXXXXXXX5205,684709537XXXX5205431661098692649,Membership,3/7/2019,1098692649,WITHDRAWAL,63195,ATM
784709537,XXXXXXXXXXXX6129,684709537XXXX6129433481020300295,Membership,9/5/2019,1020300295,GROCERIES,65303,POS
784709537,XXXXXXXXXXXX4177,684709537XXXX417713/03/20181089253163,Membership,13/3/2019,1089253163,GROCERIES,28708,POS
784709537,XXXXXXXXXXXX9425,684709537XXXX942514/11/20181064943549,Membership,14/11/2019,1064943549,ENTERTAINMENT,90181,POS
784709537,XXXXXXXXXXXX9057,684709537XXXX905718/05/20181048856151,Membership,18/5/2019,1048856151,ENTERTAINMENT,5953,POS
784709537,XXXXXXXXXXXX8263,684709537XXXX826320/03/20181088969038,Membership,20/3/2019,1088969038,ENTERTAINMENT,65869,POS
784709537,XXXXXXXXXXXX9738,684709537XXXX973820/06/20181013351802,Membership,20/6/2019,1013351802,ENTERTAINMENT,72583,POS
784709537,XXXXXXXXXXXX1883,684709537XXXX188322/04/20181040916510,Membership,22/4/2019,1040916510,PETROL PUMPS,41656,POS
784709537,XXXXXXXXXXXX1489,684709537XXXX148924/05/20181027805510,Membership,24/5/2019,1027805510,GROCERIES,75177,POS
784709537,XXXXXXXXXXXX4090,684709537XXXX409025/10/20181092621197,Membership,25/10/2019,1092621197,GROCERIES,34597,POS
784709537,XXXXXXXXXXXX9113,684709537XXXX911327/03/20181053039229,Membership,27/3/2019,1053039229,UTILITIES,54452,POS
784709537,XXXXXXXXXXXX5757,684709537XXXX575729/10/20181044002380,Membership,29/10/2019,1044002380,TRAVEL,28159,POS
785302013,XXXXXXXXXXXX8884,685302013XXXX8884431421001897701,Membership,2/11/2019,1001897701,TRAVEL,96303,POS
785302013,XXXXXXXXXXXX7447,685302013XXXX7447431991053378123,Membership,4/9/2019,1053378123,TRAVEL,85254,POS
785302013,XXXXXXXXXXXX8707,685302013XXXX8707432821087321170,Membership,7/1/2019,1087321170,GROCERIES,51140,POS
785302013,XXXXXXXXXXXX7431,685302013XXXX7431433451027515252,Membership,9/2/2019,1027515252,PETROL PUMPS,77640,POS
785302013,XXXXXXXXXXXX6186,685302013XXXX6186433481052715669,Membership,9/5/2019,1052715669,GROCERIES,51347,POS
785302013,XXXXXXXXXXXX1255,685302013XXXX1255434051017891362,Membership,11/1/2019,1017891362,ENTERTAINMENT,31566,POS
785302013,XXXXXXXXXXXX4274,685302013XXXX4274434371048927969,Membership,12/3/2019,1048927969,WITHDRAWAL,19249,ATM
785302013,XXXXXXXXXXXX7635,685302013XXXX763514/08/20181092324830,Membership,14/8/2019,1092324830,PETROL PUMPS,10724,POS
785302013,XXXXXXXXXXXX6570,685302013XXXX657015/01/20181014077647,Membership,15/1/2019,1014077647,PETROL PUMPS,66856,POS
785302013,XXXXXXXXXXXX8363,685302013XXXX836315/11/20181035282260,Membership,15/11/2019,1035282260,UTILITIES,52416,POS
785302013,XXXXXXXXXXXX5367,685302013XXXX536716/09/20181063583801,Membership,16/9/2019,1063583801,GROCERIES,376,POS
785302013,XXXXXXXXXXXX5057,685302013XXXX505718/03/20181048495007,Membership,18/3/2019,1048495007,PETROL PUMPS,26130,POS
785302013,XXXXXXXXXXXX8659,685302013XXXX865921/07/20181047816791,Membership,21/7/2019,1047816791,PETROL PUMPS,90980,POS
785302013,XXXXXXXXXXXX2770,685302013XXXX277022/06/20181034697834,Membership,22/6/2019,1034697834,PETROL PUMPS,9808,POS
785302013,XXXXXXXXXXXX9512,685302013XXXX951222/09/20181018188333,Membership,22/9/2019,1018188333,UTILITIES,57963,POS
785302013,XXXXXXXXXXXX7098,685302013XXXX709823/08/20181043534745,Membership,23/8/2019,1043534745,WITHDRAWAL,27580,ATM
785302013,XXXXXXXXXXXX7793,685302013XXXX779324/02/20181086475678,Membership,24/2/2019,1086475678,GROCERIES,22432,POS
785302013,XXXXXXXXXXXX1277,685302013XXXX127724/07/20181053361000,Membership,24/7/2019,1053361000,UTILITIES,91573,POS
785302013,XXXXXXXXXXXX1331,685302013XXXX133125/03/20181043364085,Membership,25/3/2019,1043364085,GROCERIES,93244,POS
785302013,XXXXXXXXXXXX1890,685302013XXXX189027/06/20181073561806,Membership,27/6/2019,1073561806,FOOD,79041,POS
785302013,XXXXXXXXXXXX5158,685302013XXXX515827/06/20181063298841,Membership,27/6/2019,1063298841,ENTERTAINMENT,44777,POS
785302013,XXXXXXXXXXXX2425,685302013XXXX242528/04/20181071172317,Membership,28/4/2019,1071172317,TRAVEL,48459,POS
785302013,XXXXXXXXXXXX9218,685302013XXXX921829/01/20181064746587,Membership,29/1/2019,1064746587,GROCERIES,445,POS
785302013,XXXXXXXXXXXX3285,685302013XXXX328529/01/20181033822798,Membership,29/1/2019,1033822798,ENTERTAINMENT,19582,POS
785302013,XXXXXXXXXXXX7178,685302013XXXX717830/08/20181007520558,Membership,30/8/2019,1007520558,GROCERIES,50982,POS
785302014,XXXXXXXXXXXX5856,685302014XXXX5856431111079478402,Platinum,1/11/2019,1079478402,TRAVEL,54818,POS
785302014,XXXXXXXXXXXX9739,685302014XXXX9739431371002571509,Platinum,2/6/2019,1002571509,TRAVEL,84791,POS
785302014,XXXXXXXXXXXX4011,685302014XXXX4011431411069419829,Platinum,2/10/2019,1069419829,ENTERTAINMENT,44977,POS
785302014,XXXXXXXXXXXX1863,685302014XXXX1863431661074731571,Platinum,3/7/2019,1074731571,PETROL PUMPS,98450,POS
785302014,XXXXXXXXXXXX8613,685302014XXXX8613432231043017021,Platinum,5/3/2019,1043017021,FOOD,29820,POS
785302014,XXXXXXXXXXXX2630,685302014XXXX2630432311059436943,Platinum,5/11/2019,1059436943,UTILITIES,13365,POS
785302014,XXXXXXXXXXXX3148,685302014XXXX3148432561074555459,Platinum,6/5/2019,1074555459,WITHDRAWAL,62882,ATM
785302014,XXXXXXXXXXXX6585,685302014XXXX6585432561043663562,Platinum,6/5/2019,1043663562,WITHDRAWAL,19666,ATM
785302014,XXXXXXXXXXXX1866,685302014XXXX1866432581008826878,Platinum,6/7/2019,1008826878,TRAVEL,93837,POS
785302014,XXXXXXXXXXXX5964,685302014XXXX5964433181069828858,Platinum,8/6/2019,1069828858,TRAVEL,10688,POS
785302014,XXXXXXXXXXXX7428,685302014XXXX7428433221031311507,Platinum,8/10/2019,1031311507,WITHDRAWAL,26017,ATM
785302014,XXXXXXXXXXXX6751,685302014XXXX6751433741006776435,Platinum,10/1/2019,1006776435,UTILITIES,70587,POS
785302014,XXXXXXXXXXXX4867,685302014XXXX4867433791090966374,Platinum,10/6/2019,1090966374,GROCERIES,97559,POS
785302014,XXXXXXXXXXXX3958,685302014XXXX3958433801026506636,Platinum,10/7/2019,1026506636,PETROL PUMPS,35441,POS
785302014,XXXXXXXXXXXX8616,685302014XXXX8616434351078271712,Platinum,12/1/2019,1078271712,UTILITIES,65580,POS
785302014,XXXXXXXXXXXX9930,685302014XXXX9930434421054957857,Platinum,12/8/2019,1054957857,GROCERIES,13129,POS
785302014,XXXXXXXXXXXX2693,685302014XXXX269314/04/20181037122648,Platinum,14/4/2019,1037122648,ENTERTAINMENT,69036,POS
785302014,XXXXXXXXXXXX2097,685302014XXXX209717/03/20181063435619,Platinum,17/3/2019,1063435619,GROCERIES,89046,POS
785302014,XXXXXXXXXXXX4306,685302014XXXX430619/02/20181037000698,Platinum,19/2/2019,1037000698,WITHDRAWAL,97216,ATM
785302014,XXXXXXXXXXXX7685,685302014XXXX768520/03/20181051966041,Platinum,20/3/2019,1051966041,UTILITIES,9779,POS
785302014,XXXXXXXXXXXX8505,685302014XXXX850521/07/20181046933168,Platinum,21/7/2019,1046933168,PETROL PUMPS,5456,POS
785302014,XXXXXXXXXXXX8522,685302014XXXX852222/05/20181095739740,Platinum,22/5/2019,1095739740,ENTERTAINMENT,19177,POS
785302014,XXXXXXXXXXXX2602,685302014XXXX260223/01/20181094567831,Platinum,23/1/2019,1094567831,WITHDRAWAL,17245,ATM
